"nest_id","maleplumage","ring_female","cc_female","season","fledge","lay_date","lay_day","hatch_date","hatch_day","hatch_day_trans","november","cor_Hatching_day"
"LSP1415004","black-white","D143309","dg wh # al","2014_2015",3,"",NA,"21/03/2015",141,19881,"01/11/2014",141
"LSP1415038","black-white","D143345","og dg # al","2014_2015",2,"27/02/2015",119,"10/03/2015",130,16900,"01/11/2014",130
"LSP1415043","black-white","D143347","og og # al","2014_2015",2,"23/03/2015",143,"03/04/2015",154,23716,"01/11/2014",154
"LSP1718007","black-white","UFVCAF000004","al og lg og","2017_2018",2,"24/12/2017",54,"05/01/2018",66,4356,"01/11/2017",66
"LSP1718015","black-white","UFVCAF000008","al og db wh","2017_2018",1,"10/01/2018",71,"23/01/2018",84,7056,"01/11/2017",84
"LSP1718017","black-white","UFVCAF000050","al wh pi lg","2017_2018",2,"",NA,"14/01/2018",75,5625,"01/11/2017",75
"LSP1718021","black-white","UFVCAF000023","al db wh ye","2017_2018",3,"",NA,"16/01/2018",77,5929,"01/11/2017",77
"LSP1718029","black-white","UFVCAF000084","al pi pu pu","2017_2018",2,"",NA,"25/01/2018",86,7396,"01/11/2017",86
"LSP1718043","brown","UFVCAF000115","al dg ye db","2017_2018",1,"13/02/2018",105,"26/02/2018",118,13924,"01/11/2017",118
"LSP1718046","black-white","UFVCAF000079","al wh dg pi","2017_2018",1,"15/02/2018",107,"27/02/2018",119,14161,"01/11/2017",119
"LSP1718050","black-white","UFVCAF000121","al bl bl ye","2017_2018",2,"18/02/2018",110,"01/03/2018",121,14641,"01/11/2017",121
"LSP1718058","black-white","UFVCAF000105","al wh wh dg","2017_2018",2,"",NA,"01/03/2018",121,14641,"01/11/2017",121
"LSP1718059","black-white","UFVCAF000014"," al db ye db","2017_2018",2,"26/02/2018",118,"11/03/2018",131,17161,"01/11/2017",131
"LSP1718063","black-white","UFVCAF000125","al ye ye pu","2017_2018",2,"",NA,"09/03/2018",129,16641,"01/11/2017",129
"LSP1718064","brown","UFVCAF000281","al db db lg","2017_2018",1,"27/02/2018",119,"12/03/2018",132,17424,"01/11/2017",132
"LSP1718070","black-white","UFVCAF000009","al db db ye","2017_2018",2,"10/03/2018",130,"22/03/2018",142,20164,"01/11/2017",142
"LSP1718071","brown","UFVCAF000056","al wh db wh","2017_2018",2,"12/03/2018",132,"24/03/2018",144,20736,"01/11/2017",144
"LSP1718073","black-white","UFVCAF000044","al dg # db","2017_2018",2,"",NA,"10/03/2018",130,16900,"01/11/2017",130
"LSP1819002","black-white","UFVCAF000181","al lb ye ye","2018_19",3,"14/12/2018",44,"25/12/2018",55,3025,"01/11/2018",55
"LSP1819007","black-white","UFVCAF000169","al bl pi re","2018_19",2,"",NA,"20/12/2018",50,2500,"01/11/2018",50
"LSP1819017","brown","UFVCAF000250","al db wh og","2018_19",1,"",NA,"03/01/2019",64,4096,"01/11/2018",64
"LSP1819018","black-white","UFVCAF000073","al ye lg db","2018_19",2,"18/12/2018",48,"31/12/2018",61,3721,"01/11/2018",61
"LSP1819058","black-white","UFVCAF000169","al bl pi re","2018_19",3,"",NA,"22/01/2019",83,6889,"01/11/2018",83
"LSP1819067","black-white","UFVCAF000255","al pu dg pi","2018_19",1,"",NA,"28/01/2019",89,7921,"01/11/2018",89
"LSP1819086","brown","UFVCAF000265","al wh dg wh","2018_19",1,"",NA,"31/01/2019",92,8464,"01/11/2018",92
"LSP1819093","black-white","UFVCAF000206","al wh wh ye","2018_19",2,"13/02/2019",105,"27/02/2019",119,14161,"01/11/2018",119
